id,scope,metric,claim,status,paper_evidence,experimental_evidence
headline_methods_pawc,main,pawc,"Quotation Addition, Statistics Addition, and Cite Sources all outperform baseline on PAWC.",PASS,Table 1; Section 4,"{""baseline"": 0.020979199999999996, ""observed"": {""quotation"": 0.0727628, ""statistics"": 0.027231066666666668, ""citation"": 0.09823113333333335}}"
table1_pawc_order,main,pawc,The qualitative PAWC strategy ordering agrees with Table 1.,FAIL,Table 1 PAWC Overall column,"{""pairwise_concordance"": 0.6, ""required"": 0.8}"
quotation_beats_baseline_pawc,main,pawc,Quotation Addition outperforms the baseline on PAWC.,PASS,Table 1: 27.2 > 19.3,"{""left_mean"": 0.0727628, ""right_mean"": 0.020979199999999996, ""relative_change"": 2.4683305369127524}"
statistics_beats_baseline_pawc,main,pawc,Statistics Addition outperforms the baseline on PAWC.,PASS,Table 1: 25.2 > 19.3,"{""left_mean"": 0.027231066666666668, ""right_mean"": 0.020979199999999996, ""relative_change"": 0.29800310148464537}"
citation_beats_baseline_pawc,main,pawc,Cite Sources outperforms the baseline on PAWC.,PASS,Table 1: 24.6 > 19.3,"{""left_mean"": 0.09823113333333335, ""right_mean"": 0.020979199999999996, ""relative_change"": 3.682310733170634}"
fluency_beats_baseline_pawc,main,pawc,Fluency Optimization improves PAWC over baseline.,PASS,Table 1: 24.7 > 19.3; Section 4,"{""left_mean"": 0.34519286666666665, ""right_mean"": 0.020979199999999996, ""relative_change"": 15.454052903193007}"
easy_beats_baseline_pawc,main,pawc,Easy-to-Understand improves PAWC over baseline.,PASS,Table 1: 22.0 > 19.3; Section 4,"{""left_mean"": 0.06792066666666667, ""right_mean"": 0.020979199999999996, ""relative_change"": 2.237524150905024}"
authoritative_limited_pawc,main,pawc,Authoritative produces limited PAWC improvement.,FAIL,Section 4: no significant improvement; Table 1,"{""left_mean"": 0.06619946666666666, ""right_mean"": 0.020979199999999996, ""relative_change"": 2.1554809843400453}"
keyword_not_improve_pawc,main,pawc,Keyword Stuffing provides little or no PAWC improvement.,FAIL,Table 1: 17.7 < 19.3; Section 4,"{""left_mean"": 0.0799534, ""right_mean"": 0.020979199999999996, ""relative_change"": 2.811079545454546}"
quotation_beats_baseline_subjective,main,subjective_impression_calibrated,Quotation Addition improves Subjective Impression.,PASS,Table 1: 24.7 > 19.3,"{""left_mean"": 0.14107765940044448, ""right_mean"": -0.0004442353706618866, ""relative_change"": -318.5741256042859}"
statistics_beats_baseline_subjective,main,subjective_impression_calibrated,Statistics Addition improves Subjective Impression.,PASS,Table 1: 23.7 > 19.3,"{""left_mean"": 0.023427932158483107, ""right_mean"": -0.0004442353706618866, ""relative_change"": -53.73765599433642}"
citation_beats_baseline_subjective,main,subjective_impression_calibrated,Cite Sources improves Subjective Impression.,PASS,Table 1: 21.9 > 19.3,"{""left_mean"": 0.09656244887101224, ""right_mean"": -0.0004442353706618866, ""relative_change"": -218.36776323582572}"
lower_rank_benefit,rank_analysis,pawc,Lower-ranked sources benefit more from GEO.,NOT_TESTED,Table 2; Section 5.2,"{""reason"": ""Requires separate rank_analysis experiment.""}"
domain_specificity,tag_analysis,pawc,The most effective GEO method varies by domain and query type.,NOT_TESTED,Table 3; Section 5.1,"{""reason"": ""Requires separate tag_analysis experiment.""}"
combination_best,pairwise,pawc,Fluency plus Statistics is the strongest tested pair.,NOT_TESTED,Figure 4; Section 5.3,"{""reason"": ""Requires separate pairwise experiment.""}"
perplexity_generalization,perplexity,pawc,High-performing GEO methods generalize to Perplexity.ai.,NOT_TESTED,Table 5; Section 6,"{""reason"": ""Requires separate perplexity experiment.""}"
